ie_folder,mms_id,title,language,date,total_ocr_pages,origin,destination,full_route,med_segment,num_stops,num_med_stops,sea_pages,voyage_pages,med_keyword_pages,route_detail
IE48185854,9919010040101488,Towards Khartoum,nan,1897,394,France,England,France → Egypt → Italy → Palestine → Persia → China → India → England,France → Egypt → Italy → Palestine,8,4,88,48,0,"[{""page"": 16, ""place"": ""France"", ""is_mediterranean"": true, ""total_mentions"": 4, ""page_range"": ""16-67"", ""matched_term"": ""france""}, {""page"": 18, ""place"": ""Egypt"", ""is_mediterranean"": true, ""total_mentions"": 175, ""page_range"": ""8-390"", ""matched_term"": ""egypte""}, {""page"": 27, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 18, ""page_range"": ""16-379"", ""matched_term"": ""italie""}, {""page"": 37, ""place"": ""Palestine"", ""is_mediterranean"": true, ""total_mentions"": 5, ""page_range"": ""37-377"", ""matched_term"": ""palestine""}, {""page"": 108, ""place"": ""Persia"", ""is_mediterranean"": false, ""total_mentions"": 3, ""page_range"": ""108-296"", ""matched_term"": ""perse""}, {""page"": 338, ""place"": ""China"", ""is_mediterranean"": false, ""total_mentions"": 9, ""page_range"": ""34-385"", ""matched_term"": ""chine""}, {""page"": 370, ""place"": ""India"", ""is_mediterranean"": false, ""total_mentions"": 27, ""page_range"": ""19-390"", ""matched_term"": ""inde""}, {""page"": 372, ""place"": ""England"", ""is_mediterranean"": false, ""total_mentions"": 35, ""page_range"": ""9-389"", ""matched_term"": ""angleterre""}]"
IE48178624,9919017000101488,Une mission en Abyssinie et dans la Mer Rouge,nan,1884,352,Algeria,France,Algeria → England → Turkey → Palestine → Egypt → Italy → Morocco → Austria → Greece → China → India → Spain → France,Algeria → Turkey → Palestine → Egypt → Italy → Morocco → Greece → Spain → France,13,9,171,47,4,"[{""page"": 15, ""place"": ""Algeria"", ""is_mediterranean"": true, ""total_mentions"": 4, ""page_range"": ""15-304"", ""matched_term"": ""alg\u00e9rie""}, {""page"": 20, ""place"": ""England"", ""is_mediterranean"": false, ""total_mentions"": 23, ""page_range"": ""20-331"", ""matched_term"": ""angleterre""}, {""page"": 33, ""place"": ""Turkey"", ""is_mediterranean"": true, ""total_mentions"": 5, ""page_range"": ""33-249"", ""matched_term"": ""turquie""}, {""page"": 33, ""place"": ""Palestine"", ""is_mediterranean"": true, ""total_mentions"": 11, ""page_range"": ""33-326"", ""matched_term"": ""palestine""}, {""page"": 36, ""place"": ""Egypt"", ""is_mediterranean"": true, ""total_mentions"": 67, ""page_range"": ""11-344"", ""matched_term"": ""egypte""}, {""page"": 44, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 55, ""page_range"": ""19-336"", ""matched_term"": ""italie""}, {""page"": 48, ""place"": ""Morocco"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""48-308"", ""matched_term"": ""maroc""}, {""page"": 196, ""place"": ""Austria"", ""is_mediterranean"": false, ""total_mentions"": 38, ""page_range"": ""48-328"", ""matched_term"": ""autriche""}, {""page"": 196, ""place"": ""Greece"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""196-204"", ""matched_term"": ""gr\u00e8ce""}, {""page"": 225, ""place"": ""China"", ""is_mediterranean"": false, ""total_mentions"": 17, ""page_range"": ""11-305"", ""matched_term"": ""chine""}, {""page"": 234, ""place"": ""India"", ""is_mediterranean"": false, ""total_mentions"": 23, ""page_range"": ""14-339"", ""matched_term"": ""inde""}, {""page"": 287, ""place"": ""Spain"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""287-308"", ""matched_term"": ""espagne""}, {""page"": 301, ""place"": ""France"", ""is_mediterranean"": true, ""total_mentions"": 111, ""page_range"": ""8-345"", ""matched_term"": ""france""}]"
IE48200271,9919044180101488,Voyage dans le Soudan occidental,nan,1877,384,Egypt,Italy,Egypt → France → Austria → Morocco → India → Spain → Algeria → China → Palestine → Russia → Italy,Egypt → France → Morocco → Spain → Algeria → Palestine → Italy,11,7,26,82,0,"[{""page"": 6, ""place"": ""Egypt"", ""is_mediterranean"": true, ""total_mentions"": 5, ""page_range"": ""6-146"", ""matched_term"": ""egypte""}, {""page"": 15, ""place"": ""France"", ""is_mediterranean"": true, ""total_mentions"": 46, ""page_range"": ""5-377"", ""matched_term"": ""france""}, {""page"": 16, ""place"": ""Austria"", ""is_mediterranean"": false, ""total_mentions"": 11, ""page_range"": ""16-371"", ""matched_term"": ""autriche""}, {""page"": 23, ""place"": ""Morocco"", ""is_mediterranean"": true, ""total_mentions"": 10, ""page_range"": ""23-364"", ""matched_term"": ""maroc""}, {""page"": 24, ""place"": ""India"", ""is_mediterranean"": false, ""total_mentions"": 5, ""page_range"": ""24-373"", ""matched_term"": ""inde""}, {""page"": 33, ""place"": ""Spain"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""33-36"", ""matched_term"": ""espagne""}, {""page"": 39, ""place"": ""Algeria"", ""is_mediterranean"": true, ""total_mentions"": 7, ""page_range"": ""17-327"", ""matched_term"": ""alg\u00e9rie""}, {""page"": 138, ""place"": ""China"", ""is_mediterranean"": false, ""total_mentions"": 3, ""page_range"": ""138-194"", ""matched_term"": ""chine""}, {""page"": 150, ""place"": ""Palestine"", ""is_mediterranean"": true, ""total_mentions"": 12, ""page_range"": ""40-376"", ""matched_term"": ""palestine""}, {""page"": 194, ""place"": ""Russia"", ""is_mediterranean"": false, ""total_mentions"": 2, ""page_range"": ""194-195"", ""matched_term"": ""russie""}, {""page"": 313, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 43, ""page_range"": ""67-344"", ""matched_term"": ""italie""}]"
IE26195678,9919151310101488,Les échelles du Levant.,nan,1864,330,Austria,England,Austria → Italy → Malta → Egypt → Palestine → Lebanon → Syria → China → Persia → India → Turkey → Greece → France → Russia → England,Italy → Malta → Egypt → Palestine → Lebanon → Syria → Turkey → Greece → France,15,9,81,23,3,"[{""page"": 40, ""place"": ""Austria"", ""is_mediterranean"": false, ""total_mentions"": 18, ""page_range"": ""10-320"", ""matched_term"": ""autriche""}, {""page"": 56, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 43, ""page_range"": ""18-320"", ""matched_term"": ""italie""}, {""page"": 63, ""place"": ""Malta"", ""is_mediterranean"": true, ""total_mentions"": 17, ""page_range"": ""55-326"", ""matched_term"": ""malte""}, {""page"": 90, ""place"": ""Egypt"", ""is_mediterranean"": true, ""total_mentions"": 41, ""page_range"": ""16-326"", ""matched_term"": ""egypte""}, {""page"": 111, ""place"": ""Palestine"", ""is_mediterranean"": true, ""total_mentions"": 33, ""page_range"": ""64-326"", ""matched_term"": ""palestine""}, {""page"": 118, ""place"": ""Lebanon"", ""is_mediterranean"": true, ""total_mentions"": 41, ""page_range"": ""118-326"", ""matched_term"": ""liban""}, {""page"": 131, ""place"": ""Syria"", ""is_mediterranean"": true, ""total_mentions"": 55, ""page_range"": ""47-322"", ""matched_term"": ""syrie""}, {""page"": 171, ""place"": ""China"", ""is_mediterranean"": false, ""total_mentions"": 4, ""page_range"": ""171-249"", ""matched_term"": ""chine""}, {""page"": 190, ""place"": ""Persia"", ""is_mediterranean"": false, ""total_mentions"": 3, ""page_range"": ""190-248"", ""matched_term"": ""perse""}, {""page"": 190, ""place"": ""India"", ""is_mediterranean"": false, ""total_mentions"": 4, ""page_range"": ""190-318"", ""matched_term"": ""inde""}, {""page"": 234, ""place"": ""Turkey"", ""is_mediterranean"": true, ""total_mentions"": 59, ""page_range"": ""122-326"", ""matched_term"": ""turquie""}, {""page"": 242, ""place"": ""Greece"", ""is_mediterranean"": true, ""total_mentions"": 39, ""page_range"": ""56-322"", ""matched_term"": ""gr\u00e8ce""}, {""page"": 257, ""place"": ""France"", ""is_mediterranean"": true, ""total_mentions"": 82, ""page_range"": ""6-326"", ""matched_term"": ""france""}, {""page"": 262, ""place"": ""Russia"", ""is_mediterranean"": false, ""total_mentions"": 10, ""page_range"": ""127-324"", ""matched_term"": ""russie""}, {""page"": 262, ""place"": ""England"", ""is_mediterranean"": false, ""total_mentions"": 7, ""page_range"": ""239-278"", ""matched_term"": ""angleterre""}]"
IE39165861,9919205870101488,Mes trente-cinq années de mission dans la haute Éthiopie,nan,1887,374,Italy,France,Italy → Palestine → Egypt → Malta → Algeria → Austria → Turkey → Lebanon → Greece → India → England → China → France,Italy → Palestine → Egypt → Malta → Algeria → Turkey → Lebanon → Greece → France,13,9,41,95,1,"[{""page"": 26, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 109, ""page_range"": ""10-369"", ""matched_term"": ""italie""}, {""page"": 43, ""place"": ""Palestine"", ""is_mediterranean"": true, ""total_mentions"": 42, ""page_range"": ""5-369"", ""matched_term"": ""palestine""}, {""page"": 46, ""place"": ""Egypt"", ""is_mediterranean"": true, ""total_mentions"": 79, ""page_range"": ""19-369"", ""matched_term"": ""egypte""}, {""page"": 73, ""place"": ""Malta"", ""is_mediterranean"": true, ""total_mentions"": 17, ""page_range"": ""31-357"", ""matched_term"": ""malte""}, {""page"": 85, ""place"": ""Algeria"", ""is_mediterranean"": true, ""total_mentions"": 5, ""page_range"": ""85-359"", ""matched_term"": ""alg\u00e9rie""}, {""page"": 102, ""place"": ""Austria"", ""is_mediterranean"": false, ""total_mentions"": 10, ""page_range"": ""68-360"", ""matched_term"": ""autriche""}, {""page"": 181, ""place"": ""Turkey"", ""is_mediterranean"": true, ""total_mentions"": 6, ""page_range"": ""97-184"", ""matched_term"": ""turquie""}, {""page"": 243, ""place"": ""Lebanon"", ""is_mediterranean"": true, ""total_mentions"": 5, ""page_range"": ""24-246"", ""matched_term"": ""liban""}, {""page"": 282, ""place"": ""Greece"", ""is_mediterranean"": true, ""total_mentions"": 18, ""page_range"": ""30-327"", ""matched_term"": ""gr\u00e8ce""}, {""page"": 311, ""place"": ""India"", ""is_mediterranean"": false, ""total_mentions"": 8, ""page_range"": ""66-327"", ""matched_term"": ""inde""}, {""page"": 313, ""place"": ""England"", ""is_mediterranean"": false, ""total_mentions"": 13, ""page_range"": ""313-367"", ""matched_term"": ""angleterre""}, {""page"": 316, ""place"": ""China"", ""is_mediterranean"": false, ""total_mentions"": 2, ""page_range"": ""316-317"", ""matched_term"": ""chine""}, {""page"": 319, ""place"": ""France"", ""is_mediterranean"": true, ""total_mentions"": 50, ""page_range"": ""9-368"", ""matched_term"": ""france""}]"
IE48201816,9919207860101488,"L'Afrique équatoriale : Gabonais, Pahouins, Gallois",nan,1878,402,Spain,Palestine,Spain → Algeria → Germany → Syria → France → Malta → India → China → Austria → Italy → England → Palestine,Spain → Algeria → Syria → France → Malta → Italy → Palestine,12,7,37,55,1,"[{""page"": 5, ""place"": ""Spain"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""5-112"", ""matched_term"": ""espagne""}, {""page"": 13, ""place"": ""Algeria"", ""is_mediterranean"": true, ""total_mentions"": 3, ""page_range"": ""13-195"", ""matched_term"": ""alg\u00e9rie""}, {""page"": 16, ""place"": ""Germany"", ""is_mediterranean"": false, ""total_mentions"": 3, ""page_range"": ""16-26"", ""matched_term"": ""allemagne""}, {""page"": 17, ""place"": ""Syria"", ""is_mediterranean"": true, ""total_mentions"": 4, ""page_range"": ""17-288"", ""matched_term"": ""syrie""}, {""page"": 18, ""place"": ""France"", ""is_mediterranean"": true, ""total_mentions"": 77, ""page_range"": ""4-402"", ""matched_term"": ""france""}, {""page"": 19, ""place"": ""Malta"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""19-20"", ""matched_term"": ""malte""}, {""page"": 67, ""place"": ""India"", ""is_mediterranean"": false, ""total_mentions"": 11, ""page_range"": ""5-371"", ""matched_term"": ""inde""}, {""page"": 102, ""place"": ""China"", ""is_mediterranean"": false, ""total_mentions"": 5, ""page_range"": ""26-255"", ""matched_term"": ""chine""}, {""page"": 113, ""place"": ""Austria"", ""is_mediterranean"": false, ""total_mentions"": 24, ""page_range"": ""46-398"", ""matched_term"": ""autriche""}, {""page"": 142, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 32, ""page_range"": ""23-395"", ""matched_term"": ""italie""}, {""page"": 145, ""place"": ""England"", ""is_mediterranean"": false, ""total_mentions"": 25, ""page_range"": ""25-399"", ""matched_term"": ""angleterre""}, {""page"": 224, ""place"": ""Palestine"", ""is_mediterranean"": true, ""total_mentions"": 8, ""page_range"": ""80-372"", ""matched_term"": ""palestine""}]"
IE53402957,9919207990101488,L'Afrique équatoriale,nan,1876,414,China,France,China → Palestine → Greece → Italy → Egypt → Austria → England → Portugal → France,Palestine → Greece → Italy → Egypt → Portugal → France,9,6,22,65,0,"[{""page"": 56, ""place"": ""China"", ""is_mediterranean"": false, ""total_mentions"": 5, ""page_range"": ""56-318"", ""matched_term"": ""chine""}, {""page"": 74, ""place"": ""Palestine"", ""is_mediterranean"": true, ""total_mentions"": 6, ""page_range"": ""74-310"", ""matched_term"": ""palestine""}, {""page"": 177, ""place"": ""Greece"", ""is_mediterranean"": true, ""total_mentions"": 4, ""page_range"": ""139-402"", ""matched_term"": ""gr\u00e8ce""}, {""page"": 221, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 32, ""page_range"": ""24-394"", ""matched_term"": ""italie""}, {""page"": 238, ""place"": ""Egypt"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""238-240"", ""matched_term"": ""egypte""}, {""page"": 270, ""place"": ""Austria"", ""is_mediterranean"": false, ""total_mentions"": 21, ""page_range"": ""21-399"", ""matched_term"": ""autriche""}, {""page"": 271, ""place"": ""England"", ""is_mediterranean"": false, ""total_mentions"": 4, ""page_range"": ""271-288"", ""matched_term"": ""angleterre""}, {""page"": 295, ""place"": ""Portugal"", ""is_mediterranean"": true, ""total_mentions"": 7, ""page_range"": ""144-405"", ""matched_term"": ""portugal""}, {""page"": 305, ""place"": ""France"", ""is_mediterranean"": true, ""total_mentions"": 56, ""page_range"": ""6-409"", ""matched_term"": ""france""}]"
IE53901526,9919257150101488,The personal life of David Livingstone ...,nan,1880,560,China,Cyprus,China → England → Tunisia → Malta → Portugal → France → Palestine → Persia → Egypt → Turkey → Russia → India → Italy → Greece → Spain → Cyprus,Tunisia → Malta → Portugal → France → Palestine → Egypt → Turkey → Italy → Greece → Spain → Cyprus,16,11,243,193,1,"[{""page"": 41, ""place"": ""China"", ""is_mediterranean"": false, ""total_mentions"": 20, ""page_range"": ""13-520"", ""matched_term"": ""chine""}, {""page"": 49, ""place"": ""England"", ""is_mediterranean"": false, ""total_mentions"": 164, ""page_range"": ""6-556"", ""matched_term"": ""angleterre""}, {""page"": 222, ""place"": ""Tunisia"", ""is_mediterranean"": true, ""total_mentions"": 8, ""page_range"": ""17-534"", ""matched_term"": ""tunisie""}, {""page"": 222, ""place"": ""Malta"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""222-534"", ""matched_term"": ""malte""}, {""page"": 243, ""place"": ""Portugal"", ""is_mediterranean"": true, ""total_mentions"": 15, ""page_range"": ""17-539"", ""matched_term"": ""portugal""}, {""page"": 367, ""place"": ""France"", ""is_mediterranean"": true, ""total_mentions"": 44, ""page_range"": ""21-546"", ""matched_term"": ""france""}, {""page"": 417, ""place"": ""Palestine"", ""is_mediterranean"": true, ""total_mentions"": 25, ""page_range"": ""23-548"", ""matched_term"": ""palestine""}, {""page"": 427, ""place"": ""Persia"", ""is_mediterranean"": false, ""total_mentions"": 22, ""page_range"": ""20-550"", ""matched_term"": ""perse""}, {""page"": 477, ""place"": ""Egypt"", ""is_mediterranean"": true, ""total_mentions"": 26, ""page_range"": ""21-542"", ""matched_term"": ""egypte""}, {""page"": 487, ""place"": ""Turkey"", ""is_mediterranean"": true, ""total_mentions"": 5, ""page_range"": ""24-535"", ""matched_term"": ""turquie""}, {""page"": 516, ""place"": ""Russia"", ""is_mediterranean"": false, ""total_mentions"": 5, ""page_range"": ""368-545"", ""matched_term"": ""russie""}, {""page"": 517, ""place"": ""India"", ""is_mediterranean"": false, ""total_mentions"": 153, ""page_range"": ""2-554"", ""matched_term"": ""inde""}, {""page"": 526, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 28, ""page_range"": ""24-556"", ""matched_term"": ""italie""}, {""page"": 534, ""place"": ""Greece"", ""is_mediterranean"": true, ""total_mentions"": 4, ""page_range"": ""146-548"", ""matched_term"": ""gr\u00e8ce""}, {""page"": 534, ""place"": ""Spain"", ""is_mediterranean"": true, ""total_mentions"": 4, ""page_range"": ""151-539"", ""matched_term"": ""espagne""}, {""page"": 534, ""place"": ""Cyprus"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""534-548"", ""matched_term"": ""chypre""}]"
IE53911629,9919258130101488,Vie et voyages du docteur David Livingstone,nan,1882,312,India,France,India → England → Palestine → China → Austria → Greece → Italy → Egypt → Spain → France,Palestine → Greece → Italy → Egypt → Spain → France,10,6,27,68,0,"[{""page"": 2, ""place"": ""India"", ""is_mediterranean"": false, ""total_mentions"": 7, ""page_range"": ""2-305"", ""matched_term"": ""inde""}, {""page"": 9, ""place"": ""England"", ""is_mediterranean"": false, ""total_mentions"": 33, ""page_range"": ""5-308"", ""matched_term"": ""angleterre""}, {""page"": 13, ""place"": ""Palestine"", ""is_mediterranean"": true, ""total_mentions"": 4, ""page_range"": ""13-234"", ""matched_term"": ""palestine""}, {""page"": 21, ""place"": ""China"", ""is_mediterranean"": false, ""total_mentions"": 6, ""page_range"": ""21-186"", ""matched_term"": ""chine""}, {""page"": 46, ""place"": ""Austria"", ""is_mediterranean"": false, ""total_mentions"": 6, ""page_range"": ""46-258"", ""matched_term"": ""autriche""}, {""page"": 112, ""place"": ""Greece"", ""is_mediterranean"": true, ""total_mentions"": 3, ""page_range"": ""112-172"", ""matched_term"": ""gr\u00e8ce""}, {""page"": 119, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 19, ""page_range"": ""27-285"", ""matched_term"": ""italie""}, {""page"": 129, ""place"": ""Egypt"", ""is_mediterranean"": true, ""total_mentions"": 3, ""page_range"": ""129-237"", ""matched_term"": ""egypte""}, {""page"": 236, ""place"": ""Spain"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""236-275"", ""matched_term"": ""espagne""}, {""page"": 284, ""place"": ""France"", ""is_mediterranean"": true, ""total_mentions"": 16, ""page_range"": ""5-305"", ""matched_term"": ""france""}]"
IE53907483,9919350240101488,Comment j'ai traversé l'Afrique,por,1881,514,England,Italy,England → France → Egypt → Belgium → Portugal → Palestine → China → Persia → Greece → India → Austria → Italy,France → Egypt → Portugal → Palestine → Greece → Italy,12,6,38,89,0,"[{""page"": 12, ""place"": ""England"", ""is_mediterranean"": false, ""total_mentions"": 24, ""page_range"": ""12-494"", ""matched_term"": ""angleterre""}, {""page"": 16, ""place"": ""France"", ""is_mediterranean"": true, ""total_mentions"": 39, ""page_range"": ""7-480"", ""matched_term"": ""france""}, {""page"": 19, ""place"": ""Egypt"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""19-445"", ""matched_term"": ""egypte""}, {""page"": 21, ""place"": ""Belgium"", ""is_mediterranean"": false, ""total_mentions"": 3, ""page_range"": ""21-467"", ""matched_term"": ""belgique""}, {""page"": 34, ""place"": ""Portugal"", ""is_mediterranean"": true, ""total_mentions"": 54, ""page_range"": ""12-505"", ""matched_term"": ""portugal""}, {""page"": 51, ""place"": ""Palestine"", ""is_mediterranean"": true, ""total_mentions"": 3, ""page_range"": ""51-365"", ""matched_term"": ""palestine""}, {""page"": 69, ""place"": ""China"", ""is_mediterranean"": false, ""total_mentions"": 8, ""page_range"": ""69-429"", ""matched_term"": ""chine""}, {""page"": 93, ""place"": ""Persia"", ""is_mediterranean"": false, ""total_mentions"": 2, ""page_range"": ""93-194"", ""matched_term"": ""perse""}, {""page"": 130, ""place"": ""Greece"", ""is_mediterranean"": true, ""total_mentions"": 3, ""page_range"": ""130-245"", ""matched_term"": ""gr\u00e8ce""}, {""page"": 208, ""place"": ""India"", ""is_mediterranean"": false, ""total_mentions"": 6, ""page_range"": ""79-284"", ""matched_term"": ""inde""}, {""page"": 252, ""place"": ""Austria"", ""is_mediterranean"": false, ""total_mentions"": 18, ""page_range"": ""33-442"", ""matched_term"": ""autriche""}, {""page"": 337, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 30, ""page_range"": ""29-498"", ""matched_term"": ""italie""}]"
IE53909548,9919350240101488,Comment j'ai traversé l'Afrique,por,1881,518,Palestine,India,Palestine → Austria → Greece → Persia → Italy → France → Netherlands → England → Portugal → Russia → Egypt → China → India,Palestine → Greece → Italy → France → Portugal → Egypt,13,6,60,109,0,"[{""page"": 30, ""place"": ""Palestine"", ""is_mediterranean"": true, ""total_mentions"": 5, ""page_range"": ""30-507"", ""matched_term"": ""palestine""}, {""page"": 34, ""place"": ""Austria"", ""is_mediterranean"": false, ""total_mentions"": 13, ""page_range"": ""26-375"", ""matched_term"": ""autriche""}, {""page"": 37, ""place"": ""Greece"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""37-494"", ""matched_term"": ""gr\u00e8ce""}, {""page"": 149, ""place"": ""Persia"", ""is_mediterranean"": false, ""total_mentions"": 2, ""page_range"": ""149-339"", ""matched_term"": ""perse""}, {""page"": 160, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 44, ""page_range"": ""26-502"", ""matched_term"": ""italie""}, {""page"": 246, ""place"": ""France"", ""is_mediterranean"": true, ""total_mentions"": 39, ""page_range"": ""7-509"", ""matched_term"": ""france""}, {""page"": 365, ""place"": ""Netherlands"", ""is_mediterranean"": false, ""total_mentions"": 5, ""page_range"": ""365-383"", ""matched_term"": ""hollande""}, {""page"": 367, ""place"": ""England"", ""is_mediterranean"": false, ""total_mentions"": 33, ""page_range"": ""30-511"", ""matched_term"": ""angleterre""}, {""page"": 402, ""place"": ""Portugal"", ""is_mediterranean"": true, ""total_mentions"": 38, ""page_range"": ""13-512"", ""matched_term"": ""portugal""}, {""page"": 433, ""place"": ""Russia"", ""is_mediterranean"": false, ""total_mentions"": 3, ""page_range"": ""259-438"", ""matched_term"": ""russie""}, {""page"": 443, ""place"": ""Egypt"", ""is_mediterranean"": true, ""total_mentions"": 3, ""page_range"": ""443-458"", ""matched_term"": ""egypte""}, {""page"": 476, ""place"": ""China"", ""is_mediterranean"": false, ""total_mentions"": 9, ""page_range"": ""347-483"", ""matched_term"": ""chine""}, {""page"": 497, ""place"": ""India"", ""is_mediterranean"": false, ""total_mentions"": 32, ""page_range"": ""40-513"", ""matched_term"": ""inde""}]"
IE53578711,9919358180101488,"Voyages de F. Le Vaillant, dans l'intérieur de l'Afrique, par le Cap de Bonne-Espérance.",nan,1840,166,France,Italy,France → India → Greece → Persia → Netherlands → Austria → Italy,France → Greece → Italy,7,3,41,92,0,"[{""page"": 14, ""place"": ""France"", ""is_mediterranean"": true, ""total_mentions"": 13, ""page_range"": ""14-133"", ""matched_term"": ""france""}, {""page"": 19, ""place"": ""India"", ""is_mediterranean"": false, ""total_mentions"": 6, ""page_range"": ""19-88"", ""matched_term"": ""inde""}, {""page"": 58, ""place"": ""Greece"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""58-156"", ""matched_term"": ""gr\u00e8ce""}, {""page"": 74, ""place"": ""Persia"", ""is_mediterranean"": false, ""total_mentions"": 2, ""page_range"": ""74-75"", ""matched_term"": ""perse""}, {""page"": 80, ""place"": ""Netherlands"", ""is_mediterranean"": false, ""total_mentions"": 11, ""page_range"": ""13-133"", ""matched_term"": ""hollande""}, {""page"": 131, ""place"": ""Austria"", ""is_mediterranean"": false, ""total_mentions"": 6, ""page_range"": ""17-148"", ""matched_term"": ""autriche""}, {""page"": 144, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 9, ""page_range"": ""38-156"", ""matched_term"": ""italie""}]"
IE53579384,9919358180101488,"Voyages de F. Le Vaillant, dans l'intérieur de l'Afrique, par le Cap de Bonne-Espérance.",nan,1840,172,China,Italy,China → France → India → Austria → Palestine → Italy,France → Palestine → Italy,6,3,16,90,0,"[{""page"": 10, ""place"": ""China"", ""is_mediterranean"": false, ""total_mentions"": 2, ""page_range"": ""10-65"", ""matched_term"": ""chine""}, {""page"": 30, ""place"": ""France"", ""is_mediterranean"": true, ""total_mentions"": 6, ""page_range"": ""30-163"", ""matched_term"": ""france""}, {""page"": 52, ""place"": ""India"", ""is_mediterranean"": false, ""total_mentions"": 2, ""page_range"": ""52-144"", ""matched_term"": ""inde""}, {""page"": 54, ""place"": ""Austria"", ""is_mediterranean"": false, ""total_mentions"": 5, ""page_range"": ""19-165"", ""matched_term"": ""autriche""}, {""page"": 63, ""place"": ""Palestine"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""63-91"", ""matched_term"": ""palestine""}, {""page"": 138, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 13, ""page_range"": ""9-156"", ""matched_term"": ""italie""}]"
IE53580770,9919358180101488,"Voyages de F. Le Vaillant, dans l'intérieur de l'Afrique, par le Cap de Bonne-Espérance.",nan,1840,164,Palestine,Austria,Palestine → China → France → Netherlands → Greece → Italy → Austria,Palestine → France → Greece → Italy,7,4,14,93,0,"[{""page"": 48, ""place"": ""Palestine"", ""is_mediterranean"": true, ""total_mentions"": 2, ""page_range"": ""48-73"", ""matched_term"": ""palestine""}, {""page"": 61, ""place"": ""China"", ""is_mediterranean"": false, ""total_mentions"": 2, ""page_range"": ""61-73"", ""matched_term"": ""chine""}, {""page"": 119, ""place"": ""France"", ""is_mediterranean"": true, ""total_mentions"": 8, ""page_range"": ""82-139"", ""matched_term"": ""france""}, {""page"": 120, ""place"": ""Netherlands"", ""is_mediterranean"": false, ""total_mentions"": 5, ""page_range"": ""120-164"", ""matched_term"": ""hollande""}, {""page"": 122, ""place"": ""Greece"", ""is_mediterranean"": true, ""total_mentions"": 4, ""page_range"": ""54-132"", ""matched_term"": ""gr\u00e8ce""}, {""page"": 143, ""place"": ""Italy"", ""is_mediterranean"": true, ""total_mentions"": 16, ""page_range"": ""37-163"", ""matched_term"": ""italie""}, {""page"": 151, ""place"": ""Austria"", ""is_mediterranean"": false, ""total_mentions"": 3, ""page_range"": ""32-154"", ""matched_term"": ""autriche""}]"
